Team,Wins,Losses,Win_Percentage
NYG,166,123,0.574
CHI,165,124,0.571
DET,165,124,0.571
PHI,162,127,0.561
DAL,161,128,0.557
GNB,161,128,0.557
MIN,161,128,0.557
WAS,159,130,0.55
BAL,154,135,0.533
PIT,152,137,0.526
KAN,151,138,0.522
LAC,151,138,0.522
CLE,150,139,0.519
CIN,147,142,0.509
DEN,146,143,0.505
LVR,145,144,0.502
LAR,142,147,0.491
HOU,139,150,0.481
TAM,139,150,0.481
ATL,138,151,0.478
MIA,137,152,0.474
SEA,137,152,0.474
BUF,135,154,0.467
JAX,135,154,0.467
IND,134,155,0.464
NYJ,133,156,0.46
ARI,132,157,0.457
CAR,132,157,0.457
TEN,130,159,0.45
NWE,124,165,0.429
NOR,121,168,0.419
SFO,120,169,0.415