"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"10","3 out of 5 stars","0"
"2",1,"CeeDee Lamb",DAL,"10","2 out of 5 stars","+1"
"3",1,"Justin Jefferson",MIN,"6","2 out of 5 stars","-1"
"4",2,"Malik Nabers",NYG,"14","2 out of 5 stars","+1"
"5",2,"Puka Nacua",LAR,"8","3 out of 5 stars","-1"
"6",2,"Amon-Ra St. Brown",DET,"8","3 out of 5 stars","0"
"7",2,"Nico Collins",HOU,"6","4 out of 5 stars","0"
"8",2,"Brian Thomas Jr.",JAC,"8","4 out of 5 stars","0"
"9",2,"Drake London",ATL,"5","3 out of 5 stars","+1"
"10",3,"A.J. Brown",PHI,"9","3 out of 5 stars","-1"
"11",3,"Ladd McConkey",LAC,"12","3 out of 5 stars","0"
"12",3,"Jaxon Smith-Njigba",SEA,"8","3 out of 5 stars","+2"
"13",3,"Garrett Wilson",NYJ,"9","4 out of 5 stars","+2"
"14",3,"Tyreek Hill",MIA,"12","3 out of 5 stars","-2"
"15",3,"Tee Higgins",CIN,"10","3 out of 5 stars","-2"
"16",3,"Davante Adams",LAR,"8","3 out of 5 stars","0"
"17",4,"Mike Evans",TB,"9","3 out of 5 stars","+1"
"18",4,"Marvin Harrison Jr.",ARI,"8","4 out of 5 stars","+1"
"19",4,"DJ Moore",CHI,"5","2 out of 5 stars","+1"
"20",4,"Terry McLaurin",WAS,"12","3 out of 5 stars","-3"
"21",4,"DK Metcalf",PIT,"5","4 out of 5 stars","0"
"22",4,"Courtland Sutton",DEN,"12","3 out of 5 stars","+1"
"23",4,"DeVonta Smith",PHI,"9","3 out of 5 stars","+1"
"24",4,"Tetairoa McMillan",CAR,"14","4 out of 5 stars","+5"
"25",4,"Jaylen Waddle",MIA,"12","3 out of 5 stars","+7"
"26",4,"Rashee Rice",KC,"10","3 out of 5 stars","-4"
"27",4,"Zay Flowers",BAL,"7","3 out of 5 stars","-1"
"28",5,"Xavier Worthy",KC,"10","3 out of 5 stars","-3"
"29",5,"George Pickens",DAL,"10","2 out of 5 stars","+1"
"30",5,"Jameson Williams",DET,"8","3 out of 5 stars","-3"
"31",5,"Chris Olave",NO,"11","4 out of 5 stars","+4"
"32",5,"Calvin Ridley",TEN,"10","4 out of 5 stars","-1"
"33",5,"Travis Hunter",JAC,"8","4 out of 5 stars","-5"
"34",5,"Jerry Jeudy",CLE,"9","2 out of 5 stars","-1"
"35",5,"Stefon Diggs",NE,"14","3 out of 5 stars","+3"
"36",5,"Rome Odunze",CHI,"5","2 out of 5 stars","0"
"37",5,"Jakobi Meyers",LV,"8","4 out of 5 stars","+4"
"38",5,"Chris Godwin",TB,"9","3 out of 5 stars","-4"
"39",6,"Khalil Shakir",BUF,"7","3 out of 5 stars","+3"
"40",6,"Jauan Jennings",SF,"14","4 out of 5 stars","+3"
"41",6,"Jordan Addison",MIN,"6","2 out of 5 stars","-4"
"42",6,"Josh Downs",IND,"11","4 out of 5 stars","+8"
"43",6,"Ricky Pearsall",SF,"14","4 out of 5 stars","+2"
"44",6,"Deebo Samuel Sr.",WAS,"12","3 out of 5 stars","-4"
"45",6,"Michael Pittman Jr.",IND,"11","4 out of 5 stars","+6"
"46",6,"Jayden Reed",GB,"5","2 out of 5 stars","0"
"47",6,"Cooper Kupp",SEA,"8","3 out of 5 stars","-8"
"48",6,"Emeka Egbuka",TB,"9","3 out of 5 stars","-1"
"49",6,"Darnell Mooney",ATL,"5","3 out of 5 stars","+3"
"50",6,"Matthew Golden",GB,"5","2 out of 5 stars","-6"
"51",6,"Brandon Aiyuk",SF,"14","4 out of 5 stars","-3"
"52",6,"Christian Kirk",HOU,"6","4 out of 5 stars","+5"
"53",6,"Rashid Shaheed",NO,"11","4 out of 5 stars","+2"
"54",6,"Keon Coleman",BUF,"7","3 out of 5 stars","-5"
"55",7,"Luther Burden III",CHI,"5","2 out of 5 stars","+3"
"56",7,"Cedric Tillman",CLE,"9","2 out of 5 stars","+14"
"57",7,"Rashod Bateman",BAL,"7","3 out of 5 stars","+4"
"58",7,"Adam Thielen",CAR,"14","4 out of 5 stars","+4"
"59",7,"Marquise Brown",KC,"10","3 out of 5 stars","0"
"60",7,"Marvin Mims Jr.",DEN,"12","3 out of 5 stars","-4"
"61",7,"Tre' Harris",LAC,"12","3 out of 5 stars","-7"
"62",7,"Romeo Doubs",GB,"5","2 out of 5 stars","+7"
"63",7,"Wan'Dale Robinson",NYG,"14","2 out of 5 stars","+4"
"64",7,"Jayden Higgins",HOU,"6","4 out of 5 stars","-11"
"65",7,"DeMario Douglas",NE,"14","3 out of 5 stars","+7"
"66",7,"Kyle Williams",NE,"14","3 out of 5 stars","-1"
"67",7,"Xavier Legette",CAR,"14","4 out of 5 stars","-4"
"68",7,"Quentin Johnston",LAC,"12","3 out of 5 stars","0"
"69",7,"Jalen McMillan",TB,"9","3 out of 5 stars","-3"
"70",7,"Joshua Palmer",BUF,"7","3 out of 5 stars","+3"
"71",7,"DeAndre Hopkins",BAL,"7","3 out of 5 stars","0"
"72",7,"Jalen Coker",CAR,"14","4 out of 5 stars","+34"
"73",7,"Jack Bech",LV,"8","4 out of 5 stars","-13"
"74",8,"Michael Wilson",ARI,"8","4 out of 5 stars","+17"
"75",8,"Darius Slayton",NYG,"14","2 out of 5 stars","+12"
"76",8,"Keenan Allen",LAC,"12","3 out of 5 stars","-12"
"77",8,"Alec Pierce",IND,"11","4 out of 5 stars","0"
"78",8,"Jaylin Noel",HOU,"6","4 out of 5 stars","+10"
"79",8,"Adonai Mitchell",IND,"11","4 out of 5 stars","+34"
"80",8,"Tyler Lockett",TEN,"10","4 out of 5 stars","-5"
"81",8,"Dontayvion Wicks",GB,"5","2 out of 5 stars","+8"
"82",8,"Calvin Austin III",PIT,"5","4 out of 5 stars","-4"
"83",8,"Andrei Iosivas",CIN,"10","3 out of 5 stars","-3"
"84",8,"Diontae Johnson",CLE,"9","2 out of 5 stars","+14"
"85",8,"Elic Ayomanor",TEN,"10","4 out of 5 stars","+12"
"86",8,"Pat Bryant",DEN,"12","3 out of 5 stars","-2"
"87",8,"Devaughn Vele",DEN,"12","3 out of 5 stars","+48"
"88",8,"Jalen Royals",KC,"10","3 out of 5 stars","-9"
"89",8,"Dyami Brown",JAC,"8","4 out of 5 stars","+1"
"90",8,"Roman Wilson",PIT,"5","4 out of 5 stars","+11"
"91",8,"Elijah Moore",BUF,"7","3 out of 5 stars","+14"
"92",8,"Jalen Tolbert",DAL,"10","2 out of 5 stars","+11"
"93",8,"Brandin Cooks",NO,"11","4 out of 5 stars","+28"
"94",8,"Nick Westbrook-Ikhine",MIA,"12","3 out of 5 stars","+25"
"95",8,"Malik Washington",MIA,"12","3 out of 5 stars","+60"
"96",8,"Kayshon Boutte",NE,"14","3 out of 5 stars","+18"
"97",8,"Parker Washington",JAC,"8","4 out of 5 stars","+47"
"98",8,"Tre Tucker",LV,"8","4 out of 5 stars","+11"
"99",8,"Tim Patrick",DET,"8","3 out of 5 stars","0"
"100",8,"Jalen Nailor",MIN,"6","2 out of 5 stars","-7"
"101",9,"Tory Horton",SEA,"8","3 out of 5 stars","-5"
"102",9,"Dont'e Thornton Jr.",LV,"8","4 out of 5 stars","-26"
"103",9,"Xavier Restrepo",TEN,"10","4 out of 5 stars","+17"
"104",9,"Amari Cooper",FA,"-","-","+6"
"105",9,"Luke McCaffrey",WAS,"12","3 out of 5 stars","-13"
"106",9,"Christian Watson",GB,"5","2 out of 5 stars","+10"
"107",9,"Isaac TeSlaa",DET,"8","3 out of 5 stars","-33"
"108",9,"Jermaine Burton",CIN,"10","3 out of 5 stars","+26"
"109",9,"Gabe Davis",FA,"-","-","-"
"110",9,"Tez Johnson",TB,"9","3 out of 5 stars","+47"
"111",9,"Tutu Atwell",LAR,"8","3 out of 5 stars","0"
"112",9,"Josh Reynolds",NYJ,"9","4 out of 5 stars","+70"
"113",9,"Jordan Whittington",LAR,"8","3 out of 5 stars","+13"
"114",9,"Ray-Ray McCloud III",ATL,"5","3 out of 5 stars","-19"
"115",9,"Noah Brown",WAS,"12","3 out of 5 stars","+24"
"116",9,"John Metchie III",HOU,"6","4 out of 5 stars","+34"
"117",9,"Tai Felton",MIN,"6","2 out of 5 stars","+39"
"118",9,"Demarcus Robinson",SF,"14","4 out of 5 stars","+18"
"119",10,"KaVontae Turpin",DAL,"10","2 out of 5 stars","-38"
"120",10,"Marquez Valdes-Scantling",SEA,"8","3 out of 5 stars","-13"
"121",10,"Troy Franklin",DEN,"12","3 out of 5 stars","-21"
"122",10,"Savion Williams",GB,"5","2 out of 5 stars","+54"
"123",10,"Chimere Dike",TEN,"10","4 out of 5 stars","+206"
"124",10,"Curtis Samuel",BUF,"7","3 out of 5 stars","+21"
"125",10,"Jaylin Lane",WAS,"12","3 out of 5 stars","-2"
"126",10,"Isaiah Bond",FA,"-","-","-"
"127",10,"Tank Dell",HOU,"6","4 out of 5 stars","-45"
"128",10,"Mack Hollins",NE,"14","3 out of 5 stars","-11"
"129",10,"Allen Lazard",NYJ,"9","4 out of 5 stars","-14"
"130",10,"Hunter Renfrow",CAR,"14","4 out of 5 stars","-36"
"131",10,"KeAndre Lambert-Smith",LAC,"12","3 out of 5 stars","-29"
"132",10,"Van Jefferson",TEN,"10","4 out of 5 stars","+11"
"133",10,"Greg Dortch",ARI,"8","4 out of 5 stars","+14"
"134",10,"Robert Woods",PIT,"5","4 out of 5 stars","+4"
"135",10,"Antwane Wells Jr.",NYG,"14","2 out of 5 stars","-"
"136",10,"Jacob Cowing",SF,"14","4 out of 5 stars","+15"
"137",10,"Theo Wease Jr.",MIA,"12","3 out of 5 stars","-"
"138",10,"Jahan Dotson",PHI,"9","3 out of 5 stars","-53"
"139",10,"Olamide Zaccheaus",CHI,"5","2 out of 5 stars","+9"
"140",10,"Jonathan Mingo",DAL,"10","2 out of 5 stars","+26"
"141",10,"Kendrick Bourne",NE,"14","3 out of 5 stars","+5"
"142",10,"Malachi Corley",NYJ,"9","4 out of 5 stars","+97"
"143",10,"Zay Jones",ARI,"8","4 out of 5 stars","+38"
"144",10,"Jalin Hyatt",NYG,"14","2 out of 5 stars","-16"
"145",10,"JuJu Smith-Schuster",KC,"10","3 out of 5 stars","-62"
"146",10,"Ja'Lynn Polk",NE,"14","3 out of 5 stars","+27"
"147",10,"Arian Smith",NYJ,"9","4 out of 5 stars","+113"
"148",10,"KhaDarel Hodge",ATL,"5","3 out of 5 stars","+40"
"149",10,"Kalif Raymond",DET,"8","3 out of 5 stars","-31"
"150",11,"Javon Baker",NE,"14","3 out of 5 stars","+87"
"151",11,"Devontez Walker",BAL,"7","3 out of 5 stars","+83"
"152",11,"Jordan Watkins",SF,"14","4 out of 5 stars","+111"
"153",11,"Jake Bobo",SEA,"8","3 out of 5 stars","-41"
"154",11,"Tyler Johnson",NYJ,"9","4 out of 5 stars","+48"
"155",11,"Bub Means",NO,"11","4 out of 5 stars","+83"
"156",11,"Jamari Thrash",CLE,"9","2 out of 5 stars","+148"
"157",11,"K.J. Osborn",WAS,"12","3 out of 5 stars","+43"
"158",11,"Rondale Moore",MIN,"6","2 out of 5 stars","+130"
"159",11,"Jimmy Horn Jr.",CAR,"14","4 out of 5 stars","-73"
"160",11,"Michael Gallup",WAS,"12","3 out of 5 stars","+25"
"161",11,"Derius Davis",LAC,"12","3 out of 5 stars","+7"
"162",11,"Treylon Burks",TEN,"10","4 out of 5 stars","+48"
"163",11,"David Bell",CLE,"9","2 out of 5 stars","-"
"164",11,"DJ Chark Jr.",ATL,"5","3 out of 5 stars","+106"
"165",11,"Efton Chism III",NE,"14","3 out of 5 stars","+90"
"166",11,"Johnny Wilson",PHI,"9","3 out of 5 stars","-39"
"167",11,"Cedrick Wilson Jr.",NO,"11","4 out of 5 stars","+100"
"168",11,"Sterling Shepard",TB,"9","3 out of 5 stars","-36"
"169",11,"Ricky White III",SEA,"8","3 out of 5 stars","+178"
"170",11,"Tyquan Thornton",KC,"10","3 out of 5 stars","-17"
"171",11,"Julian Fleming",FA,"-","-","-"
"172",11,"DeAndre Carter",CLE,"9","2 out of 5 stars","+7"
"173",11,"David Moore",CAR,"14","4 out of 5 stars","-33"
"174",11,"Mecole Hardman Jr.",GB,"5","2 out of 5 stars","-32"
"175",11,"Nick Nash",ATL,"5","3 out of 5 stars","+146"
"176",11,"Scotty Miller",PIT,"5","4 out of 5 stars","+16"
"177",11,"Ainias Smith",PHI,"9","3 out of 5 stars","-40"
"178",11,"Justin Watson",HOU,"6","4 out of 5 stars","-37"
"179",11,"Xavier Gipson",NYJ,"9","4 out of 5 stars","+45"
"180",12,"Kaden Prather",BUF,"7","3 out of 5 stars","-"
"181",12,"Brennan Eagles",FA,"-","-","-"
"182",12,"Ihmir Smith-Marsette",NYG,"14","2 out of 5 stars","+105"
"183",12,"Michael Woods II",FA,"-","-","+25"
"184",12,"Tylan Wallace",BAL,"7","3 out of 5 stars","-35"
"185",12,"Konata Mumpfield",LAR,"8","3 out of 5 stars","+66"
"186",12,"Trey Palmer",TB,"9","3 out of 5 stars","-32"
"187",12,"Rakim Jarrett",TB,"9","3 out of 5 stars","+44"
"188",12,"Trent Sherfield Sr.",DEN,"12","3 out of 5 stars","+84"
"189",12,"Simi Fehoko",ARI,"8","4 out of 5 stars","-"
"190",12,"Tim Jones",MIN,"6","2 out of 5 stars","-29"
"191",12,"Velus Jones Jr.",NO,"11","4 out of 5 stars","-"
"192",12,"Bo Melton",GB,"5","2 out of 5 stars","+21"